Species,Ontogeny
Allophylus_psilospermus_Chery19,Ontogeny_1
Thinouia_mucronata_Zardini_13513,Ontogeny_5
Thinouia_restingae_Somner_1074,Ontogeny_5
Paullinia_chocoensis_Acevedo_15281,NA
Paullinia_fibrigera_Chery_21_Neurotoechus,Ontogeny_1
Paullinia_ingifolia_Acevedo_14812_Pachytoechus,Ontogeny_1
Lophostigma_plumosum_Acevedo_6568,Ontogeny_1
Lophostigma_plumosum_Coulleri_267,Ontogeny_1
Serjania_pyramidata_Chery_29,Ontogeny_6
Serjania_cornigera_Chery_36,Ontogeny_2
Serjania_atrolineata_Acevedo_15195,Ontogeny_6
Urvillea_andersonii,Ontogeny_4
Urvillea_chacoensis_1,Ontogeny_4
Urvillea_chacoensis_2,Ontogeny_4
Urvillea_cuchujaquense,NA
Urvillea_filipes,Ontogeny_5
Urvillea_glabra,Ontogeny_4
Urvillea_intermedia,NA
Urvillea_laevis,Ontogeny_3
Urvillea_oliveirae_1,NA
Urvillea_oliveirae_2,NA
Urvillea_procumbens_1,NA
Urvillea_procumbens_2,NA
Urvillea_pterocarpa_1,Ontogeny_1
Urvillea_pterocarpa_2,Ontogeny_1
Urvillea_rufescens,Ontogeny_4
Urvillea_stipitata_1,Ontogeny_4
Urvillea_stipitata_2,Ontogeny_4
Urvillea_stipularis,Ontogeny_2
Urvillea_uniloba,Ontogeny_4
Urvillea_ulmacea_1,Ontogeny_4
Urvillea_ulmacea_2,Ontogeny_4
